Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
2e-06,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.296474,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.489881,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.7683,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.808214,TraderOne,Disconnect,0,0,0,0,147600,,0,0,0,
0.988953,TraderOne,Tick,0,0,0,0,147600,,0,0,0,OK
1.268385,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.532187,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.733176,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.98538,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.278892,TraderOne,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.464222,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.740139,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.98333,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.242843,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.54777,TraderOne,Tick,0,0,0,0,147500,146900,0,0,0,OK
3.758905,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.003141,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.296308,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.455262,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.707621,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.048376,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.220152,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.50385,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.717999,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.056884,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.290473,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.533627,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.79726,TraderOne,Tick,0,0,0,0,147200,146700,0,0,0,OK
7.043925,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
7.250299,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
7.462017,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
7.718695,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
8.026606,TraderOne,Tick,0,0,0,0,147200,146900,0,0,0,OK
8.246266,TraderOne,Tick,0,0,0,0,147000,146900,0,0,0,OK
8.529026,TraderOne,Tick,0,0,0,0,147000,146900,0,0,0,OK
8.778787,TraderOne,Tick,0,0,0,0,147000,146900,0,0,0,OK
8.952311,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
9.296826,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
9.512626,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
9.79119,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.031444,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.226965,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.549757,TraderOne,Tick,0,0,0,0,146700,146900,0,0,0,OK
10.72375,TraderOne,Tick,0,0,0,0,146400,147000,0,0,0,OK
10.990377,TraderOne,Tick,0,0,0,0,147300,147000,0,0,0,OK
11.25983,TraderOne,Tick,0,0,0,0,147300,147000,0,0,0,OK
11.545326,TraderOne,Tick,0,0,0,0,147300,147000,0,0,0,OK
11.773359,TraderOne,Tick,0,0,0,0,147400,147200,0,0,0,OK
11.975855,TraderOne,Tick,0,0,0,0,147400,147200,0,0,0,OK
12.295623,TraderOne,Tick,0,0,0,0,147400,147200,0,0,0,OK
12.51375,TraderOne,Tick,0,0,0,0,147400,147200,0,0,0,OK
12.709221,TraderOne,Tick,0,0,0,0,147400,147200,0,0,0,OK
13.004162,TraderOne,Tick,0,0,0,0,147400,147200,0,0,0,OK
13.265032,TraderOne,Tick,0,0,0,0,146600,147200,0,0,0,OK
13.533283,TraderOne,Tick,0,0,0,0,146600,147200,0,0,0,OK
13.736562,TraderOne,Tick,0,0,0,0,146600,147200,0,0,0,OK
14.014383,TraderOne,Tick,0,0,0,0,146600,147200,0,0,0,OK
14.249857,TraderOne,Tick,0,0,0,0,146600,147200,0,0,0,OK
14.500225,TraderOne,Tick,0,0,0,0,146600,147200,0,0,0,OK
14.726505,TraderOne,Tick,0,0,0,0,146600,147200,0,0,0,OK
14.97286,TraderOne,Tick,0,0,0,0,146600,147200,0,0,0,OK
15.275474,TraderOne,Tick,0,0,0,0,146600,147200,0,0,0,OK
15.472912,TraderOne,Tick,0,0,0,0,146900,146800,0,0,0,OK
15.740103,TraderOne,Tick,0,0,0,0,146900,146800,0,0,0,OK
